品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,身形,8669
名詞-普通名詞-一般,寝床,8726
名詞-普通名詞-一般,当主,8744
名詞-普通名詞-一般,木立ち,8931
名詞-普通名詞-一般,右腕,8736
名詞-普通名詞-一般,水夫,8856
名詞-普通名詞-サ変可能,一撃,8730
名詞-普通名詞-一般,度胸,8959
名詞-普通名詞-一般,震え,8979
名詞-普通名詞-一般,階下,8800
名詞-普通名詞-一般,躊躇い,9337
名詞-普通名詞-一般,母屋,9078
名詞-普通名詞-一般,書状,9050
名詞-普通名詞-形状詞可能,不吉,8964
名詞-普通名詞-一般,銀色,8303
名詞-普通名詞-一般,男爵,9404
名詞-普通名詞-一般,早口,9157
名詞-普通名詞-一般,胡座,9324
名詞-普通名詞-一般,家中,9043
名詞-普通名詞-一般,湯気,8918
名詞-普通名詞-一般,素振り,8938
名詞-普通名詞-一般,中佐,9578
名詞-普通名詞-形状詞可能,正気,9251
名詞-普通名詞-一般,身の上,9522
名詞-普通名詞-一般,染め,9151
名詞-普通名詞-一般,刻,9309
名詞-普通名詞-一般,茂み,9105
名詞-普通名詞-サ変可能,命中,9295
名詞-普通名詞-一般,女人,9383
名詞-普通名詞-サ変可能,瞬き,8833
名詞-普通名詞-一般,股間,8485
名詞-普通名詞-一般,手拭い,9215
名詞-普通名詞-一般,裏手,9536
名詞-普通名詞-一般,船頭,9512
名詞-普通名詞-一般,白衣,9333
名詞-普通名詞-一般,陽光,9870
名詞-普通名詞-一般,手柄,9370
名詞-普通名詞-一般,包帯,9290
名詞-普通名詞-一般,蕗,9740
名詞-普通名詞-サ変可能,愛撫,8787
名詞-普通名詞-サ変可能,尾行,9259
名詞-普通名詞-サ変可能,会釈,9374
名詞-普通名詞-形状詞可能,真っ青,9469
名詞-普通名詞-一般,木霊,9549
名詞-普通名詞-一般,刺し,9214
名詞-普通名詞-一般,侍女,9910
名詞-普通名詞-一般,霞,9618
名詞-普通名詞-一般,裏口,9899
名詞-普通名詞-一般,横目,9636
名詞-普通名詞-サ変可能,絶叫,9601
名詞-普通名詞-一般,温もり,10087
名詞-普通名詞-サ変可能,狼狽,10003
名詞-普通名詞-一般,組長,10193
名詞-普通名詞-サ変可能,当惑,10378
名詞-普通名詞-一般,紺,9766
名詞-普通名詞-一般,飛蝗,9756
名詞-普通名詞-一般,サングラス,9113
名詞-普通名詞-一般,同心,10294
名詞-普通名詞-一般,耳元,9420
名詞-普通名詞-一般,物音,9546
名詞-普通名詞-一般,松葉,9903
名詞-普通名詞-副詞可能,昼過ぎ,9681
名詞-普通名詞-サ変可能,白状,10349
名詞-普通名詞-一般,銃弾,10474
名詞-普通名詞-一般,身の代,10492
名詞-普通名詞-一般,駕籠,10084
名詞-普通名詞-一般,美貌,10301
名詞-普通名詞-一般,胸元,10085
名詞-普通名詞-一般,風呂敷,10389
名詞-普通名詞-一般,窓際,10140
名詞-普通名詞-一般,アリバイ,9506
名詞-普通名詞-サ変可能,欠伸,10126
名詞-普通名詞-サ変可能,絶句,10667
名詞-普通名詞-一般,先刻,10221
名詞-普通名詞-一般,呆気,10262
名詞-普通名詞-一般,家鴨,10120
名詞-普通名詞-一般,大君,10564
名詞-普通名詞-一般,面持ち,10436
名詞-普通名詞-一般,鷺,10043
名詞-普通名詞-一般,察し,10386
名詞-普通名詞-一般,得体,10691
